Model,posted_at,Asking,Engine: ,Year,Length,Beam,Draft,Location,Material,Hull,Type,Rigging,Cabins,Condition
Self Made --- SOLD --- Sharpie '16,02-Mar-2021,"$1,200",1 gas outboard,2005,16',5',.75',Indiana,wood,monohull,daysailer,other,0.0,good
 PAUL GARTSIDE  MASTHEAD SLOOP,02-Mar-2021,"$19,000",1 diesel inboard,2012,21',7',3' 7',Maine,wood,monohull,cruiser,masthead sloop,1.0,excellent
Caliber 28,01-Mar-2021,"$18,000",1 diesel inboard,1986,28',10.83',3.92',South Carolina,fiberglass,monohull,cruiser,,0.0,excellent
Dyer Dhow 9' Dyer Dhow,01-Mar-2021,"$2,000",,1997,9',4.5',.5',Connecticut,fiberglass,monohull,dinghy,,,excellent
MacGregor Venture 17,01-Mar-2021,"$3,750",1 gas outboard,1969,"17'6""'","6""4""'","4""6""'",California,fiberglass,monohull,daysailer,fractional sloop,1.0,good
Performance Sailcraft Laser 28,01-Mar-2021,"$22,500",1 diesel inboard,1985,28.4',9.48',5.98',Outside United States,fiberglass,monohull,racer/cruiser,fractional sloop,2.0,excellent
Pearson P35,28-Feb-2021,"$21,000",1 diesel inboard,1973,35',10',5',Washington,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Catalina 42,28-Feb-2021,"$99,000",1 diesel inboard,1990,42',13'10',4'11',Florida,fiberglass,monohull,cruiser,fractional sloop,3.0,good
Alsberg Express,27-Feb-2021,"$48,000",1 diesel inboard,1986,34',10.5',6',Washington,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,excellent
Melges 20 and Melges road trailer 20,27-Feb-2021,"$19,500",1 gas outboard,2010,20',7',',Outside United States,fiberglass,monohull,racer/cruiser,,,
Ericson 36C,26-Feb-2021,"$27,000",1 diesel inboard,1982,36',12',5.5',California,fiberglass,monohull,cruiser,cutter,2.0,good
aloha 8.2,26-Feb-2021,"$13,500",1 diesel inboard,1984,28',9.5',4.5',Massachusetts,fiberglass,monohull,cruiser,fractional sloop,0.0,good
Cheoy Lee Offshore,26-Feb-2021,"$8,500",1 diesel inboard,1968,27'6',7'9',4'4',Washington,fiberglass,monohull,cruiser,,,excellent
Catalina 14.2,26-Feb-2021,"$3,500", gas inboard,1994,14.2',6',.2',New Jersey,fiberglass,monohull,daysailer,masthead sloop,,excellent
Catalina 1978,25-Feb-2021,"$2,500",1 gas outboard,,22',',',South Carolina,fiberglass,monohull,cruiser,,1.0,fair
MFG 14 Pintail,25-Feb-2021,"$3,500",1 other outboard,1979,14',6',',Florida,fiberglass,monohull,daysailer,other,0.0,excellent
RS Sailing RS Tera Sport,25-Feb-2021,"$3,995",,2021,9' 5',4'',',New York,other,monohull,dinghy,,,new
RS Sailing RS Aero Event Package,24-Feb-2021,"$9,495",,2021,"13'2""'","4'7""'",',New York,fiberglass,monohull,dinghy,,,excellent
Al Mason Designs Custom Mason 33',02-May-2022,"$49,000",1 diesel inboard,2005,33',11',6',New York,fiberglass,monohull,cruiser,cutter,1.0,good
 Replica of an 1887 H. Manley Crosby Catboat Cat N Round,24-Feb-2021,"$32,900",1 gas outboard,2003,24',10' 6',',Louisiana,composite,monohull,cruiser,cat boat,1.0,excellent
Tartan Yachts 3400,22-Feb-2021,"$136,500",1 diesel inboard,2006,34',12',6.5',California,fiberglass,monohull,cruiser,fractional sloop,3.0,excellent
Billie Marine TANE 13.50,21-Feb-2021,"$240,000",2 diesel inboard,2000,42',',',Outside United States,composite,trimaran,cruiser,fractional sloop,4.0,good
O'Day 222,21-Feb-2021,"$5,000",1 gas outboard,1984,21.75',7.92',1.67',Vermont,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Macgregor 26M,20-Feb-2021,"$23,000",1 gas outboard,2007,27',8',5',Florida,fiberglass,monohull,motorsailer,masthead sloop,1.0,excellent
Heritage Morgan west indies,20-Feb-2021,"$29,990",1 diesel inboard,77,38',12',4',Florida,fiberglass,monohull,cruiser,ketch,3.0,fair
Philip Bolger Designed AS29 Sharpie Cat Yawl Rig,19-Feb-2021,"$8,000",1 gas outboard,2001,29'6',8'5',1'1',Alabama,fiberglass,monohull,cruiser,yawl,,good
Norseman 535,19-Feb-2021,"$269,000",1 diesel inboard,1986,53',14',6'6',Florida,fiberglass,monohull,cruiser,,,excellent
Goetz Custom Cruising Sloop,19-Feb-2021,"$1,200,000",1 gas inboard,1993,68',19',6',Virginia,fiberglass,monohull,cruiser,,,excellent
Beneteau First 30,19-Feb-2021,"$15,000",1 diesel inboard,1978,29.5',9.5',5.5',Michigan,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Lavranos L36,18-Feb-2021,"$40,000",1 diesel inboard,2007,36',12',5.8',Outside United States,fiberglass,monohull,cruiser,masthead sloop,2.0,good
catalina ,18-Feb-2021,"$7,000", gas inboard,1982,27',8.8',4'',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Whitby 42 Ketch,18-Feb-2021,"$55,000",1 diesel inboard,1975,42',14',5',Texas,fiberglass,monohull,cruiser,,2.0,good
Pacific Seacraft Ericson 380,18-Feb-2021,"$89,500",1 diesel inboard,1996,38',12',5.5',Rhode Island,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Catalina ,17-Feb-2021,"$9,000",1 gas inboard,1981,27',8.8',4',California,fiberglass,monohull,daysailer,masthead sloop,1.0,good
Norman Cross Trimaran,17-Feb-2021,"$50,000",1 diesel inboard,1974,46',23',4.5',Hawaii,fiberglass,monohull,cruiser,ketch,,
Alan Robertson Keri Keri NZ Warwick 42,17-Feb-2021,"$88,000",1 diesel inboard,1982,42',12',7',Connecticut,wood,monohull,racer/cruiser,masthead sloop,1.0,good
columbia Open 5.70,16-Feb-2021,"$14,000",1 gas outboard,2010,18.75',8.33',5.74',California,fiberglass,monohull,racer,fractional sloop,1.0,excellent
 Friendship Sloop,15-Feb-2021,"$60,000",1 diesel inboard,1975,38',12',5'6',Rhode Island,fiberglass,monohull,daysailer,other,1.0,good
SOLD---Columbia Morgan--SOLD Custom 38,15-Feb-2021,"$45,000",1 diesel inboard,1966,38',11',6',Washington,fiberglass,monohull,cruiser,masthead sloop,,excellent
Fountaine Pajot Orana 44,15-Feb-2021,"$375,000",2 diesel inboard,2009,44',44',24',Outside United States,fiberglass,catamaran,cruiser,fractional sloop,4.0,excellent
Bayfield 40 ketch,15-Feb-2021,"$42,000",1 diesel inboard,1983,40',12',5',Florida,fiberglass,monohull,cruiser,ketch,2.0,fair
Ranger 33,24-May-2022,"$8,000",1 diesel inboard,1971,33',10',5',California,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Nacra F18 infusion mk2,12-Feb-2021,"$7,900",,2011,18',8.5',',California,fiberglass,catamaran,racer,,,excellent
Lagoon 50,12-Feb-2021,"$999,000",2 diesel inboard,2021,50',26',4.11',Outside United States,fiberglass,catamaran,cruiser,fractional sloop,4.0,new
Bic Open Bic,12-Feb-2021,"$18,000",,2015,9',3.9',',Florida,fiberglass,monohull,cruiser,,,good
Newport 30,12-Feb-2021,"$19,000", diesel inboard,1981,30',10.7',5.2',Washington,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Newport 30 MKIII,01-Oct-2021,"$9,500",1 diesel inboard,1987,30',10.6',5',Connecticut,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Westsail 32,10-Feb-2021,"$29,900",1 diesel inboard,1982,32',11',5',Florida,fiberglass,monohull,cruiser,cutter,2.0,good
Schooner Hans Koll Double fin Schooner,21-Mar-2022,"$100,000",1 diesel inboard,1989,45.9',13',4.6',Outside United States,other,monohull,other,schooner,,good
Lagoon 46,08-Feb-2021,"$811,000",2 diesel inboard,2021,46',25'10',4'3',Outside United States,fiberglass,catamaran,cruiser,fractional sloop,4.0,excellent
Sparksman Stephen Yankee 30,08-Feb-2021,"$12,000",1 diesel inboard,1971,30',9',5',Florida,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,good
watkins ,07-Feb-2021,"$2,000", gas outboard,1979,27',10',3.8',South Carolina,fiberglass,monohull,cruiser,,,project boat
Hobie 16,06-Feb-2021,"$2,000",,1981,16',',',Indiana,fiberglass,catamaran,dinghy,,0.0,good
Watkins Monohull,06-Feb-2021,"$7,000",1 diesel inboard,1980,27',10',3'7',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Catalina 30 Walk-Thru Transom,06-Feb-2021,"$24,995",1 diesel inboard,1991,30',10'10',5'3',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Hunter 27 Cherubini,06-Feb-2021,"$12,500",1 diesel inboard,1981,27.17',9.25',4.25',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
 Tasar,05-Feb-2021,"$1,500",,,14.83',5.75'',',Florida,fiberglass,monohull,dinghy,,,project boat
Yankee Dolphin,05-Feb-2021,"$7,500",1 gas outboard,1971,24',8',5',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
CNB Lagoon 620,05-Feb-2021,"$1,500,000",2 diesel inboard,2016,62',32',5.1',Outside United States,fiberglass,catamaran,cruiser,fractional sloop,6.0,good
Pursuit 9.1 S2 YACHTS Racing Sailboat,05-Feb-2021,"$16,000",1 diesel inboard,1985,29'10',10'6',5'6',Connecticut,fiberglass,monohull,cruiser,,1.0,excellent
Gecco marine SWE Gecco 39,05-Feb-2021,"$39,000",1 diesel inboard,1985,39',11',6.5',California,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Beneteau First 28.5,04-Feb-2021,"$15,000",1 diesel inboard,1990,28',9'10',3'9',New York,fiberglass,monohull,racer/cruiser,masthead sloop,2.0,good
Krogen cutter 38,04-Feb-2021,"$68,000",1 diesel inboard,1986,38',12',36',Wisconsin,fiberglass,monohull,cruiser,cutter,3.0,good
Jboats j24,04-Feb-2021,"$3,500",1 gas outboard,1986,24',9',4',California,fiberglass,monohull,racer,fractional sloop,,fair
Robertson and Caine Leopard 42,04-Feb-2021,"$300,000",2 diesel inboard,2002,42',23',4.5',Florida,fiberglass,catamaran,cruiser,masthead sloop,5.0,good
O'day 322,04-Feb-2021,"$25,000",1 diesel inboard,1988,32',10.5',4',Missouri,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Gerald Stevens Nova Scotia Schooner,04-Feb-2021,"$54,900",1 diesel inboard,1993,50',',6'',Texas,wood,monohull,cruiser,schooner,2.0,good
Tartan Thomas 35,03-Feb-2021,"$35,900",1 diesel inboard,1989,35.42',11.5',6.83',Illinois,fiberglass,monohull,racer/cruiser,masthead sloop,1.0,excellent
Bavaria Cruiser 41,03-Feb-2021,"$91,000",0 diesel inboard,2015,40.5',13',6.7',Outside United States,fiberglass,monohull,cruiser,fractional sloop,3.0,good
Tayana 37,03-Feb-2021,"$39,000",1 diesel inboard,1980,37',11.5',5.8',,fiberglass,monohull,cruiser,cutter,1.0,fair
Endeavour E32,02-Feb-2021,"$25,000",1 diesel inboard,1981,32',10',4.2',Florida,fiberglass,monohull,cruiser,masthead sloop,0.0,excellent
Racing Sailboat Hampton One Design,02-Feb-2021,"$3,700",,1960,18',6',3',Virginia,wood,monohull,racer,,,excellent
Victoria Yachts Victoria 18,28-Aug-2017,"$5,900",1 gas outboard,1980,18.5',5.5',2.',Wisconsin,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
Shipyard Kroeger Germany individual customized edition,28-Aug-2017,"$230,000",1 diesel inboard,1967,58',15',7',Outside United States,wood,monohull,motorsailer,ketch,4.0,good
Erricson 46,28-Aug-2017,"$65,000",1 diesel inboard,1972,46',16',7',California,fiberglass,monohull,cruiser,cutter,1.0,good
Ontario Yachts Etchells 22,27-Aug-2017,"$2,500",,,30.5',7',4.5',New Hampshire,fiberglass,monohull,racer,fractional sloop,0.0,fair
O'Day ,27-Aug-2017,"$8,500",1 gas outboard,1984,27.2',8',2.9',South Carolina,fiberglass,monohull,daysailer,,2.0,good
Hunter 310,27-Aug-2017,"$39,900",1 diesel inboard,2000,31',10.8',5.6',Maine,fiberglass,monohull,cruiser,fractional sloop,1.0,good
Pearson 27-2,26-Aug-2017,"$17,000",1 diesel inboard,1987,27',9.17'',3.33',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
International Marine West Wight Potter,26-Aug-2017,"$5,200",,2009,15',5.5',2.25',California,fiberglass,monohull,cruiser,,,good
Cape Cod Mercury,26-Aug-2017,$600,,1972,16',',',Massachusetts,fiberglass,,,,,
ODYSSEY SWAMPSCOTT DORY,25-Aug-2017,"$2,250", gas inboard,2002,15.5',4.5',2.5',Washington,wood,monohull,other,other,,good
Cheoylee Offshore 33,25-Aug-2017,"$7,500", gas inboard,,',',',New York,fiberglass,monohull,racer/cruiser,ketch,,excellent
Beneteau Oceanis 38,24-Aug-2017,"$179,000",1 diesel inboard,2015,38',13'1',7',California,fiberglass,monohull,cruiser,fractional sloop,3.0,excellent
Pearson 35,24-Aug-2017,"$40,000",1 diesel inboard,1969,35',10',3.5',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Catalina 25 Poptop,24-Aug-2017,"$3,200",1 gas outboard,1980,25',',4',New York,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Catalina 250,24-Aug-2017,"$12,000",1 gas outboard,1996,25',8'6',5'9',Texas,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Island Packet 37,24-Aug-2017,"$139,900",1 diesel inboard,1995,38.5',12.2',4.5',Florida,fiberglass,monohull,cruiser,cutter,2.0,excellent
Beneteau Oceanis 40,23-Aug-2017,"$118,000",1 diesel inboard,2011,39'10',12'10',6'3',,fiberglass,monohull,cruiser,masthead sloop,3.0,good
Catalina Catalina 16.5,22-Aug-2017,"$6,350",,2003,17',6.11',',California,fiberglass,monohull,daysailer,,0.0,good
Morgan 382,22-Aug-2017,"$39,900",1 diesel inboard,1979,38',12',5.5',Connecticut,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Soling ,22-Aug-2017,"$5,500",,1988,27',6',4.5',Connecticut,fiberglass,monohull,racer,masthead sloop,0.0,good
Bristol Bristol 40 sloop,22-Aug-2017,"$47,900",1 diesel inboard,1972,40',10.5',5.5',Maine,fiberglass,monohull,cruiser,other,2.0,excellent
AMF Trac 16,21-Aug-2017,"$1,500",,,16',8',',Wisconsin,fiberglass,catamaran,racer,cat boat,,good
JEANNEAU SUN RISE 34,21-Aug-2017,"$38,000",1 diesel inboard,1985,34',11.47',5.9',,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Kenner Kittiwake 19 Kittiwake,21-Aug-2017,"$3,000", gas outboard,1967,19',',',New York,fiberglass,monohull,cruiser,,,fair
Chrsyler 26 ,21-Aug-2017,"$4,000", other outboard,1977,26',',',New York,fiberglass,monohull,cruiser,,,
Precision 27,21-Aug-2017,"$10,000", diesel inboard,,27',',',New York,fiberglass,monohull,cruiser,,,good
RS SAILING QUBA PRO,20-Aug-2017,"$3,500",,2012,11.5',4.6',',Illinois,composite,monohull,dinghy,other,,excellent
 commodore,20-Aug-2017,"$10,000",1 gas inboard,1984,26',7',3',New Jersey,fiberglass,monohull,cruiser,,1.0,good
Catalina 34 Tall Rig / Wing Keel,20-Aug-2017,"$39,000", diesel inboard,1987,34',11.5',4.5',Michigan,fiberglass,monohull,cruiser,masthead sloop,,excellent
Morgan Shoal Draft,20-Aug-2017,"$18,900",1 diesel inboard,1967,34',10',4',Massachusetts,fiberglass,monohull,cruiser,,,good
 Open 570,19-Aug-2017,"$14,500", gas outboard,2012,19',8',5.8',California,fiberglass,monohull,daysailer,fractional sloop,0.0,excellent
Starwind ,19-Aug-2017,"$5,000",0 gas inboard,1985,22',',',Texas,fiberglass,monohull,daysailer,,1.0,fair
Southern Ocean OCEAN 60,19-Aug-2017,"$215,000",1 diesel inboard,1979,60',15.5',8',Outside United States,fiberglass,monohull,cruiser,schooner,5.0,good
Irwin Citation,18-Aug-2017,"$15,000",1 diesel inboard,1984,31'2',11',5',Maryland,fiberglass,monohull,cruiser,,,good
Pearson Triton,18-Aug-2017,"$20,000",1 diesel inboard,1962,28'6',8'8',4'8',Illinois,fiberglass,monohull,cruiser,,,
Martin 242,18-Aug-2017,"$7,900",1 gas outboard,1981,24',',',Outside United States,fiberglass,monohull,racer,fractional sloop,,good
Custom One off trimaran,18-Aug-2017,"$64,000",2 gas outboard,,50',28',3',Florida,composite,trimaran,cruiser,,4.0,
Bauer Daysailer,18-Aug-2017,"$6,000",,1999,12'5',6',7',Michigan,fiberglass,monohull,daysailer,,,excellent
Chris Craft Cherokee,17-Aug-2017,"$5,500",1 gas inboard,1968,32',9',5',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Hunter 42.6,17-Aug-2017,"$142,500",1 diesel inboard,2003,42.6',',',Florida,fiberglass,monohull,cruiser,,1.0,
Rondar Viper 640,17-Aug-2017,"$19,000",,2012,21',8',4.5',Tennessee,fiberglass,monohull,racer,fractional sloop,0.0,excellent
CAL 39 MARK III,17-Aug-2017,"$75,000",1 diesel inboard,1979,39',12',5.5',Maryland,fiberglass,monohull,racer/cruiser,masthead sloop,3.0,excellent
Hunter 1984 Sloop,16-Aug-2017,"$18,725",1 diesel inboard,1984,31',10.92',4.8',Maryland,fiberglass,monohull,racer/cruiser,masthead sloop,,good
TPI J Boats J 24,15-Aug-2017,"$12,000",1 gas outboard,1988,24',8.6',4',Ohio,fiberglass,monohull,cruiser,fractional sloop,4.0,excellent
IRWIN I 30,14-Aug-2017,"$14,900",1 gas inboard,1977,30',10',3'11',,fiberglass,monohull,daysailer,,,excellent
Jeanneau 36i,14-Aug-2017,"$98,500",1 diesel inboard,,36',11.75',4.9',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
 swing keel,14-Aug-2017,"$9,000", gas inboard,,',',',New York,fiberglass,monohull,cruiser,,,excellent
Ovington Musto Performance Skiff,14-Aug-2017,"$13,000",,2014,15',2',0.5',Washington,composite,monohull,dinghy,other,0.0,excellent
Catalina 42 MKII,14-Aug-2017,"$140,000",1 diesel inboard,,42',13.8',4.9',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Beneteau 361,14-Aug-2017,"$89,900",1 diesel inboard,,36',12.5',4.9',Florida,fiberglass,monohull,cruiser,masthead sloop,2.0,good
Catalina 20,13-Aug-2017,"$10,000",1 diesel inboard,1975,30',',',California,fiberglass,monohull,cruiser,other,,good
westerly centaur,13-Aug-2017,"$8,000",1 diesel inboard,1970,26',9',4',Virginia,fiberglass,monohull,cruiser,fractional sloop,,good
Robertson and Caine Leopard 40,12-Aug-2017,"$463,349",2 diesel inboard,2016,40',22',4',California,fiberglass,catamaran,cruiser,cat boat,3.0,new
Classic Schooner Sailboat,12-Aug-2017,"$75,000",1 diesel inboard,1968,52',16',8',Outside United States,fiberglass,monohull,cruiser,schooner,3.0,good
Seawind 24,12-Aug-2017,"$19,000",1 gas outboard,1985,24'3',16',1',Massachusetts,fiberglass,catamaran,cruiser,,,excellent
Magnum Ron Holland,12-Aug-2017,"$225,000",1 diesel inboard,2006,46.5',13',12',Outside United States,composite,monohull,cruiser,cutter,3.0,excellent
Pearson 35,11-Aug-2017,"$19,500",1 gas inboard,1976,35'',10'',3.75'',Maryland,fiberglass,monohull,cruiser,masthead sloop,,good
WINDRIDER WR16,11-Aug-2017,"$3,200", other inboard,2004,16',12',1',North Carolina,other,trimaran,cruiser,other,,
O'Day Day Sailer,11-Aug-2017,"$5,950",1 gas outboard,1985,19.2',',',Florida,wood,monohull,daysailer,schooner,1.0,excellent
Cape Dory 25,11-Aug-2017,"$10,000",1 gas outboard,1980,25',7'5',3'5',Illinois,fiberglass,monohull,cruiser,,,excellent
Pearson Vanguard,10-Aug-2017,"$10,000",1 diesel inboard,67,33',9.25',4.5',Alabama,fiberglass,monohull,motorsailer,masthead sloop,1.0,good
Freedom Yachts 38 sloop aft cockpit,10-Aug-2017,"$58,000",1 diesel inboard,1990,38',12.6',5.5',Outside United States,fiberglass,monohull,cruiser,fractional sloop,2.0,excellent
Clearwater Offshore Ketch,10-Aug-2017,"$25,000",1 diesel inboard,1980,33',11',',Rhode Island,fiberglass,monohull,cruiser,ketch,,good
Ballentine Boats Doughdish H12 1/2,10-Aug-2017,"$28,000",1 other inboard,1997,15',6',2',Massachusetts,fiberglass,monohull,daysailer,other,0.0,excellent
Southwest Boat Corp Controversey 41,10-Aug-2017,"$35,000",1 diesel inboard,1965,41',10.5',5.6',Maine,wood,monohull,cruiser,yawl,2.0,good
Pearson P-30 Sloop,09-Aug-2017,"$11,000",1 diesel inboard,1980,30',9'6',',Rhode Island,fiberglass,monohull,cruiser,,1.0,good
Bristol Sloop,09-Aug-2017,"$2,000",,1969,24'7',8'',3.5'',Maryland,fiberglass,monohull,cruiser,masthead sloop,2.0,good
HUNTER 25.5,08-Aug-2017,"$5,195",1 gas outboard,1984,25.5',9.08',4.5',New York,fiberglass,monohull,daysailer,fractional sloop,1.0,good
laser SB3,08-Aug-2017,"$12,500", gas inboard,2008,20'2'',7'1''',2'11'',Wisconsin,fiberglass,monohull,racer/cruiser,,,excellent
West Wing Potter P19 Standard,08-Aug-2017,"$9,500",1 gas outboard,,19',',',Minnesota,fiberglass,monohull,cruiser,,,excellent
Morgan out island 41 out island,07-Aug-2017,"$15,000",1 diesel inboard,1978,41',13',4.2',Florida,fiberglass,monohull,cruiser,ketch,2.0,fair
Catalina C250,07-Aug-2017,"$8,000",1 gas outboard,2004,25',8'6',3'6',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Graham Radford 415,06-Aug-2017,"$225,000",1 diesel inboard,2005,42',13',6',Outside United States,steel,monohull,cruiser,cutter,2.0,excellent
Choeylee Hershoff offshore ketch,26-Nov-2012,"$18,500",1 diesel inboard,1976,33',10' 8',3 7',New York,fiberglass,monohull,cruiser,ketch,1.0,good
Choeylee Hershoff offshore ketch,26-Nov-2012,"$18,500",1 diesel inboard,1976,33',10' 8',3 7',New York,fiberglass,monohull,cruiser,ketch,1.0,good
Alerion Express 28,25-Nov-2012,"$70,000",1 diesel inboard,1999,28',8.2',4.5',California,fiberglass,monohull,daysailer,fractional sloop,1.0,excellent
Catana 381,23-Nov-2012,"$233,000",2 diesel inboard,1996,38',21.5',3 - 6',Florida,fiberglass,catamaran,cruiser,cat boat,3.0,excellent
J Boat J 46,21-Nov-2012,"$384,900",1 diesel inboard,2000,46'',13'8',6'2',Maryland,fiberglass,monohull,cruiser,fractional sloop,,excellent
Catalina 380,21-Nov-2012,"$123,000",1 diesel inboard,1999,38.5',12'4',5'10',Michigan,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Megabyte Megabyte,20-Nov-2012,"$4,200",,2000,14.2',5.2',3.5',Maryland,fiberglass,monohull,dinghy,cat boat,,excellent
Laguna MK II,19-Nov-2012,"$4,000",1 gas outboard,1985,26',8',3 12',Connecticut,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Ultimate Sailboats Antrim 27,18-Nov-2012,"$40,000",1 gas outboard,1999,27',9.25',6',California,composite,monohull,racer,fractional sloop,1.0,excellent
Macgregor macgregor 26 X,17-Nov-2012,"$19,900",1 gas outboard,1997,25.10',',',Florida,fiberglass,monohull,motorsailer,,,
oooooo sourisse,15-Nov-2012,"$320,000",2 diesel inboard,2009,53',25.7',0.32',Florida,composite,catamaran,cruiser,fractional sloop,4.0,
Shock Santana,13-Nov-2012,"$1,000", gas inboard,,21',',',California,fiberglass,monohull,cruiser,masthead sloop,,good
Dufour 365,13-Nov-2012,"$125,000",1 diesel inboard,2006,36',12',5'6',New York,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
beneteau farr 50,13-Nov-2012,"$199,000",1 diesel inboard,1996,50',14.5',6',,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Glander Cay 23,12-Nov-2012,"$12,000",1 gas outboard,1974,23',8',3',Florida,fiberglass,monohull,cruiser,masthead sloop,1.0,excellent
Hunter Marine 26.5 Shoal Drive,12-Nov-2012,"$9,850",0 gas outboard,1988,26.5',9',3.5',Georgia,fiberglass,monohull,cruiser,,1.0,good
Morgan 383,12-Nov-2012,"$69,995",1 diesel inboard,1982,38',12',5',Texas,fiberglass,monohull,cruiser,cutter,,excellent
Seaquest Seaquest RP36,12-Nov-2012,"$177,111",1 diesel inboard,2009,36',10.8',7.2',,fiberglass,monohull,racercruiser,fractional sloop,3.0,excellent
QUORNING BOATS DragonflyF35,11-Nov-2012,"$360,000",1 diesel inboard,2007,35',27',60',Outside United States,fiberglass,trimaran,cruiser,cutter,2.0,excellent
pacific seacraft crealock 37,11-Nov-2012,"$85,000",1 diesel inboard,1983,37',10'10',5',Florida,fiberglass,monohull,cruiser,yawl,2.0,fair
Bayfeild 23/25,11-Nov-2012,"$10,000",1 gas inboard,1974,25',8',2.5',Outside United States,fiberglass,monohull,cruiser,masthead sloop,1.0,good
wharram tiki38,10-Nov-2012,"$110,000",2 gas outboard,1998,38',21',3',Outside United States,composite,catamaran,cruiser,schooner,4.0,excellent
Pearson P35,10-Nov-2012,"$32,500", gas inboard,1978,35',',',Massachusetts,fiberglass,monohull,cruiser,,,
Columbia 25' Columbia 7.6M,09-Nov-2012,"$7,495", gas outboard,1979,25',9.2',3.6',Wisconsin,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
Beneteau 343,09-Nov-2012,"$119,000",1 diesel inboard,2006,35',12',4.6',Maryland,fiberglass,monohull,cruiser,masthead sloop,2.0,excellent
pearson 365,08-Nov-2012,"$39,900", diesel inboard,1977,36',11.5',5.6',South Carolina,fiberglass,monohull,,ketch,1.0,good
o'Day Tempest,07-Nov-2012,"$6,500",1 gas outboard,,23',7.8',3.9',Outside United States,fiberglass,monohull,daysailer,masthead sloop,1.0,excellent
Cheoy Lee Shipyard Offshore 31' ketch,06-Nov-2012,"$23,000",1 diesel inboard,1970,31'',8.75'',3.67'',,fiberglass,monohull,cruiser,ketch,2.0,excellent
Beneteau 235,05-Nov-2012,"$12,000",1 gas outboard,1988,23.5',8.5',2'11',Florida,fiberglass,monohull,,fractional sloop,1.0,good
Catalina 320 Mark II,05-Nov-2012,"$93,500",1 diesel inboard,2008,32',11'9',4'4',Florida,fiberglass,monohull,cruiser,masthead sloop,3.0,excellent
Ranger 29,05-Nov-2012,"$7,500",1 gas inboard,1973,29',9'4',4'7',Minnesota,fiberglass,monohull,cruiser,masthead sloop,,fair
Endeavour yacht corp Endeavour 32,04-Nov-2012,"$19,000",1 diesel inboard,1978,32',10',4'2',Florida,fiberglass,monohull,cruiser,masthead sloop,,good
Hunter hunter 37,04-Nov-2012,"$14,900",1 diesel inboard,1981,36.5',11',4.5',Maryland,fiberglass,monohull,cruiser,cutter,3.0,fair
Hunter Marine Hunter 23,03-Nov-2012,"$3,950",  inboard,1985,23',7',',Georgia,fiberglass,monohull,cruiser,,,project boat
Hobie Cat 14 Taft Catamaran,03-Nov-2012,$900,,1996,14',7',',Georgia,fiberglass,catamaran,daysailer,schooner,0.0,good
Southwind Luger 21,03-Nov-2012,"$2,950", gas inboard,1982,21',5.4',5.1',Georgia,fiberglass,monohull,cruiser,yawl,,good
Lancer 25' custom,03-Nov-2012,"$3,380",1 gas outboard,1981,25',8.8',3',Georgia,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Coronado 25,03-Nov-2012,"$6,250",1 gas outboard,1968,25',8.8',3.6',Georgia,fiberglass,monohull,cruiser,fractional sloop,1.0,good
J Boats J 24,03-Nov-2012,"$42,000",1 gas outboard,1979,24',8.90',4.00',Georgia,fiberglass,monohull,cruiser,masthead sloop,1.0,good
Seidelmann 299,03-Nov-2012,"$7,500",1 diesel inboard,1979,29',11.00',5.42',Georgia,fiberglass,monohull,cruiser,scow,1.0,good
